Grão,Maior Eixo,Menor Eixo,Area Estimada (mm²)
1,26.500,14.600,386.900
2,33.800,16.700,564.460
3,34.900,15.500,540.950
4,37.500,11.900,446.250
5,30.300,15.900,481.770
6,24.700,12.500,308.750
7,31.100,12.700,394.970
8,25.800,12.000,309.600
9,34.100,15.900,542.190
10,35.300,13.400,473.020
11,24.400,15.200,370.880
12,33.400,12.800,427.520
13,27.800,15.000,417.000
14,28.200,15.300,431.460
15,27.500,15.400,423.500
16,30.500,15.600,475.800
17,25.800,12.900,332.820
18,31.600,14.000,442.400
19,29.700,10.000,297.000
20,22.500,17.600,396.000
21,24.700,12.800,316.160
22,32.500,14.300,464.750
23,29.800,12.700,378.460
24,29.400,15.900,467.460
25,25.700,18.600,478.020
26,25.900,13.800,357.420
27,24.000,15.100,362.400
28,25.800,12.800,330.240
29,24.700,16.400,405.080
30,30.500,13.300,405.650
31,27.700,10.900,301.930
32,21.900,14.000,306.600
33,25.000,11.800,295.000
34,30.800,13.000,400.400
35,23.900,14.100,336.990
36,24.000,14.800,355.200
37,35.600,10.600,377.360
38,28.400,12.600,357.840
39,19.700,16.400,323.080
40,21.800,19.100,416.380
41,38.700,10.500,406.350
42,34.500,9.600,331.200
43,27.900,19.100,532.890
44,28.800,15.500,446.400
45,22.900,16.500,377.850
46,38.800,15.200,589.760
47,31.300,10.900,341.170
48,32.100,13.000,417.300
49,40.000,10.100,404.000
50,24.200,14.000,338.800
51,24.400,9.600,234.240
52,21.900,14.900,326.310
53,24.500,17.200,421.400
54,25.500,13.600,346.800
55,28.700,13.900,398.930
56,29.800,14.000,417.200
57,36.900,11.900,439.110
58,29.200,12.700,370.840
59,18.200,17.800,323.960
60,28.700,12.500,358.750
61,26.600,16.900,449.540
62,23.300,15.000,349.500
63,29.300,11.700,342.810
64,36.000,7.400,266.400
65,26.800,19.500,522.600
66,28.500,12.900,367.650
67,31.500,18.800,592.200
68,23.000,18.900,434.700
69,30.500,15.600,475.800
70,25.900,17.500,453.250
71,32.800,17.000,557.600
72,25.100,20.000,502.000
73,23.800,11.100,264.180
74,34.500,12.600,434.700
75,26.100,15.000,391.500
76,27.400,13.900,380.860
77,32.200,16.600,534.520
78,32.000,16.900,540.800
79,23.200,14.100,327.120
80,19.600,19.000,372.400
81,30.500,11.300,344.650
82,30.700,14.900,457.430
83,26.200,16.800,440.160
84,26.300,18.200,478.660
85,22.400,21.600,483.840
86,25.500,13.100,334.050
87,23.000,19.100,439.300
88,31.100,12.400,385.640
89,24.700,13.600,335.920
90,41.900,13.900,582.410
91,32.900,14.700,483.630
92,28.300,14.400,407.520
93,26.900,12.000,322.800
94,24.300,15.800,383.940
95,26.000,18.100,470.600
96,31.900,14.900,475.310
97,30.900,10.100,312.090
98,29.100,12.400,360.840
99,24.000,15.300,367.200
100,31.900,13.200,421.080
101,19.300,15.800,304.940
102,26.700,15.000,400.500
103,30.500,15.200,463.600
104,31.300,11.300,353.690
105,27.900,15.000,418.500
106,27.900,16.900,471.510
107,20.200,15.800,319.160
108,22.900,10.100,231.290
109,19.700,19.100,376.270
110,21.200,18.200,385.840
111,22.800,9.900,225.720
112,19.700,15.500,305.350
113,27.000,14.500,391.500
114,21.600,11.700,252.720
115,21.900,14.300,313.170
116,23.100,14.500,334.950
117,26.100,15.800,412.380
118,22.100,10.300,227.630
119,21.200,13.500,286.200
120,26.000,12.200,317.200
121,26.500,16.200,429.300
122,22.200,20.100,446.220
123,32.000,15.400,492.800
124,24.900,18.500,460.650
125,29.000,13.900,403.100
126,29.600,13.900,411.440
127,30.900,17.800,550.020
128,33.600,12.900,433.440
129,28.200,14.800,417.360
130,26.200,12.000,314.400
131,23.700,11.700,277.290
132,25.500,12.800,326.400
133,28.500,15.300,436.050
134,29.900,12.300,367.770
135,27.600,17.800,491.280
136,28.800,14.800,426.240
137,27.800,11.300,314.140
138,30.200,10.300,311.060
139,22.900,18.200,416.780
140,22.800,14.000,319.200
141,25.300,9.900,250.470
142,36.300,11.600,421.080
143,31.000,18.400,570.400
144,23.000,15.400,354.200
145,20.600,17.200,354.320
146,26.600,19.300,513.380
147,23.300,11.900,277.270
148,28.500,11.400,324.900
149,23.900,16.800,401.520
150,19.400,15.700,304.580
151,38.300,8.900,340.870
152,27.600,12.900,356.040
153,19.500,18.800,366.600
154,32.400,13.000,421.200
155,24.400,15.100,368.440
156,30.000,15.100,453.000
157,26.000,13.700,356.200
158,23.300,15.400,358.820
159,28.300,15.700,444.310
160,19.400,16.600,322.040
161,18.500,15.500,286.750
162,37.300,8.600,320.780
163,25.900,14.400,372.960
164,23.300,18.900,440.370
165,19.300,17.600,339.680
166,38.400,14.600,560.640
167,20.300,11.400,231.420
168,35.500,14.700,521.850
169,31.300,10.000,313.000
170,32.600,10.000,326.000
171,23.900,15.200,363.280
172,19.000,16.500,313.500
173,25.200,13.000,327.600
174,22.400,10.800,241.920
175,18.800,13.200,248.160
176,28.100,13.600,382.160
177,31.500,15.700,494.550
178,19.800,16.400,324.720
179,28.900,16.500,476.850
180,26.800,17.000,455.600